
==============================================================================
Experiment: DifferentialDelta (single-block differential, fixed input difference)
==============================================================================
NR: 1 to 100. Pairs / NR ~ 100000. Uniform byte probability = 1 / 256 = 0.00391

Per-NR (output-difference distribution versus uniform)
------------------------------------------------------
  NR   mean_wt  chi2/255_max  chi2/255_mean  max_byteprob
   1     3.944    100000.000      93775.245       1.00000
   2    16.075    100000.000      75001.044       1.00000
   3    64.249         2.684          2.555       0.00467
   4    64.012         1.184          0.972       0.00454
   5    64.016         1.171          0.982       0.00476
   6    64.035         1.136          1.028       0.00460
   7    64.019         1.096          0.977       0.00461
   8    63.998         1.263          1.022       0.00463
   9    64.008         1.120          0.988       0.00464
  10    64.027         1.207          1.026       0.00484
  11    63.990         1.132          1.037       0.00464
  12    63.996         1.246          1.004       0.00460
  13    64.007         1.151          0.994       0.00464
  14    63.986         1.253          1.015       0.00458
  15    63.987         1.250          1.021       0.00473
  16    63.981         1.200          1.038       0.00466
  17    63.997         1.142          0.994       0.00469
  18    64.006         1.156          0.999       0.00463
  19    64.012         1.208          1.024       0.00462
  20    63.998         1.213          1.013       0.00463
  21    63.961         1.197          1.046       0.00463
  22    64.020         1.126          1.027       0.00461
  23    64.001         1.184          0.994       0.00472
  24    64.037         1.310          1.014       0.00466
  25    64.020         1.095          0.945       0.00456
  26    63.972         1.132          0.995       0.00470
  27    63.984         1.111          0.978       0.00462
  28    64.003         1.152          1.000       0.00457
  29    64.027         1.096          0.999       0.00467
  30    63.971         1.026          0.954       0.00455
  31    63.992         1.150          1.017       0.00460
  32    64.008         1.120          1.023       0.00461
  33    63.987         1.197          1.022       0.00467
  34    63.967         1.086          1.010       0.00464
  35    64.002         1.162          0.998       0.00461
  36    64.003         1.122          0.999       0.00473
  37    63.988         1.189          0.983       0.00468
  38    63.981         1.147          0.954       0.00463
  39    64.024         1.133          0.962       0.00457
  40    64.012         1.067          0.957       0.00458
  41    64.007         1.211          0.982       0.00474
  42    63.969         1.150          0.989       0.00464
  43    64.053         1.143          1.004       0.00463
  44    64.016         1.039          0.952       0.00456
  45    64.000         1.103          0.993       0.00476
  46    64.004         1.181          0.999       0.00471
  47    64.007         1.146          1.005       0.00460
  48    63.992         1.275          1.008       0.00469
  49    64.007         1.119          0.986       0.00465
  50    63.980         1.218          1.037       0.00459
  51    64.000         1.149          1.005       0.00461
  52    63.985         1.095          0.994       0.00479
  53    63.992         1.212          1.050       0.00470
  54    64.031         1.104          1.012       0.00475
  55    64.004         1.153          0.970       0.00469
  56    64.015         1.074          0.959       0.00465
  57    63.999         1.188          0.991       0.00465
  58    64.033         1.127          1.008       0.00461
  59    63.963         1.290          1.005       0.00465
  60    64.027         1.070          0.982       0.00462
  61    63.973         1.191          1.005       0.00465
  62    63.990         1.118          0.989       0.00466
  63    63.967         1.128          1.001       0.00466
  64    64.006         1.090          0.968       0.00463
  65    63.999         1.151          1.025       0.00472
  66    64.001         1.154          0.989       0.00464
  67    63.985         1.088          0.959       0.00462
  68    63.980         1.179          1.001       0.00459
  69    63.995         1.195          0.984       0.00462
  70    63.993         1.179          1.016       0.00463
  71    64.010         1.107          0.995       0.00477
  72    63.982         1.132          1.022       0.00458
  73    63.998         1.250          0.989       0.00461
  74    63.997         1.231          1.009       0.00463
  75    64.006         1.164          0.983       0.00464
  76    63.999         1.242          1.041       0.00466
  77    64.012         1.082          0.969       0.00463
  78    64.004         1.304          1.026       0.00486
  79    63.995         1.181          0.998       0.00463
  80    63.992         1.093          0.998       0.00472
  81    64.009         1.131          1.006       0.00459
  82    63.996         1.281          1.036       0.00462
  83    63.974         1.086          0.983       0.00461
  84    63.986         1.128          0.995       0.00458
  85    63.994         1.122          0.972       0.00461
  86    64.013         1.080          0.994       0.00473
  87    63.979         1.236          1.003       0.00477
  88    64.014         1.115          0.982       0.00464
  89    63.994         1.192          0.987       0.00465
  90    64.004         1.115          1.007       0.00464
  91    64.015         1.177          1.006       0.00464
  92    63.968         1.082          0.980       0.00458
  93    63.977         1.181          1.006       0.00454
  94    63.991         1.200          1.012       0.00458
  95    64.005         1.274          1.008       0.00466
  96    64.016         1.154          1.014       0.00469
  97    64.057         1.175          1.004       0.00467
  98    64.009         1.169          0.987       0.00459
  99    63.989         1.125          0.971       0.00464
 100    64.005         1.113          0.988       0.00465

Interpretation
--------------
Differential structure (chi2 / 255) collapses to ~1 (uniform) by NR = 4
