
==============================================================================
Experiment: IntegralSquare (integral / square property)
==============================================================================
NR 1 to 100. Lambda-sets / NR ~ 10000. Chance balanced bytes = 16 / 256 = 0.0625

Per-NR (balance of output-byte XOR over Lambda-set)
---------------------------------------------------
  NR  mean_balanced     std  frac_fully_balanced
   1        16.0000   0.000              1.00000
   2        16.0000   0.000              1.00000
   3        16.0000   0.000              1.00000
   4         0.0615   0.246              0.00000
   5         0.0586   0.242              0.00000
   6         0.0597   0.243              0.00000
   7         0.0629   0.248              0.00000
   8         0.0655   0.256              0.00000
   9         0.0631   0.249              0.00000
  10         0.0633   0.252              0.00000
  11         0.0622   0.249              0.00000
  12         0.0646   0.253              0.00000
  13         0.0618   0.247              0.00000
  14         0.0582   0.241              0.00000
  15         0.0590   0.242              0.00000
  16         0.0643   0.253              0.00000
  17         0.0617   0.249              0.00000
  18         0.0574   0.240              0.00000
  19         0.0595   0.243              0.00000
  20         0.0598   0.243              0.00000
  21         0.0661   0.254              0.00000
  22         0.0601   0.244              0.00000
  23         0.0626   0.248              0.00000
  24         0.0653   0.255              0.00000
  25         0.0622   0.250              0.00000
  26         0.0652   0.253              0.00000
  27         0.0669   0.260              0.00000
  28         0.0643   0.254              0.00000
  29         0.0617   0.246              0.00000
  30         0.0636   0.251              0.00000
  31         0.0631   0.251              0.00000
  32         0.0659   0.258              0.00000
  33         0.0651   0.255              0.00000
  34         0.0587   0.243              0.00000
  35         0.0592   0.242              0.00000
  36         0.0650   0.254              0.00000
  37         0.0587   0.241              0.00000
  38         0.0647   0.254              0.00000
  39         0.0628   0.253              0.00000
  40         0.0630   0.252              0.00000
  41         0.0644   0.253              0.00000
  42         0.0632   0.250              0.00000
  43         0.0649   0.251              0.00000
  44         0.0617   0.249              0.00000
  45         0.0593   0.245              0.00000
  46         0.0670   0.257              0.00000
  47         0.0623   0.251              0.00000
  48         0.0600   0.242              0.00000
  49         0.0603   0.245              0.00000
  50         0.0656   0.257              0.00000
  51         0.0574   0.239              0.00000
  52         0.0613   0.248              0.00000
  53         0.0644   0.253              0.00000
  54         0.0611   0.250              0.00000
  55         0.0613   0.250              0.00000
  56         0.0610   0.247              0.00000
  57         0.0592   0.243              0.00000
  58         0.0649   0.254              0.00000
  59         0.0636   0.253              0.00000
  60         0.0626   0.248              0.00000
  61         0.0652   0.254              0.00000
  62         0.0615   0.246              0.00000
  63         0.0605   0.247              0.00000
  64         0.0597   0.246              0.00000
  65         0.0639   0.249              0.00000
  66         0.0642   0.254              0.00000
  67         0.0627   0.248              0.00000
  68         0.0629   0.248              0.00000
  69         0.0580   0.240              0.00000
  70         0.0573   0.238              0.00000
  71         0.0666   0.256              0.00000
  72         0.0652   0.254              0.00000
  73         0.0599   0.243              0.00000
  74         0.0593   0.241              0.00000
  75         0.0642   0.256              0.00000
  76         0.0660   0.256              0.00000
  77         0.0608   0.247              0.00000
  78         0.0630   0.249              0.00000
  79         0.0642   0.252              0.00000
  80         0.0635   0.251              0.00000
  81         0.0634   0.249              0.00000
  82         0.0592   0.243              0.00000
  83         0.0633   0.250              0.00000
  84         0.0683   0.259              0.00000
  85         0.0694   0.262              0.00000
  86         0.0616   0.245              0.00000
  87         0.0704   0.263              0.00000
  88         0.0654   0.256              0.00000
  89         0.0629   0.252              0.00000
  90         0.0631   0.249              0.00000
  91         0.0611   0.247              0.00000
  92         0.0619   0.247              0.00000
  93         0.0605   0.245              0.00000
  94         0.0594   0.243              0.00000
  95         0.0635   0.251              0.00000
  96         0.0621   0.249              0.00000
  97         0.0610   0.249              0.00000
  98         0.0617   0.249              0.00000
  99         0.0581   0.242              0.00000
 100         0.0674   0.255              0.00000

Interpretation
--------------
Property holds (16 / 16 balanced, frac = 1) through NR <= 3. Breaks at NR = 4
